Namespace(batch_size=64, data_dir='data/', dropout_rate=0.15, emb_dim=300, epoch_num=100, from_vocab='data/vocab_20000', from_vocab_size=20000, gpu_device='1', latent_dim=64, learning_rate=1, learning_rate_decay_factor=0.5, max_gradient_norm=3.0, max_train_data_size=0, model_dir='model/', num_heads=8, num_layers=6, num_units=512, out_dir='output/', output_dir='output/tfm/', test_data='test', to_vocab='data/vocab_20000', to_vocab_size=20000, train_data='training', train_dir='model/t-cvae/', valid_data='dev')
 init embedding finished
19833
(20000, 300)
Vocab load over.
2020-12-28 11:35:05.204612: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
2020-12-28 11:35:05.390369: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:1a:00.0
totalMemory: 10.76GiB freeMemory: 10.60GiB
2020-12-28 11:35:05.390407: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.596801: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.596822: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.596826: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.596900: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-28 11:35:05.598530: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.598572: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.598580: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.598586: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.598665: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-28 11:35:05.599378: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.599419: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.599427: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.599434: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.599517: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
Model create over.
  reading data line 0
78529
21
  reading data line 0
9816
21
  reading data line 0
9817
20
global step 100   step-time 0.69s  loss 77.826 ppl 1153.66  disc 0.234 gen -0.167 gan_ae -0.132
global step 3400   step-time 0.61s  loss 49.109 ppl 88.45  disc 0.036 gen -0.007 gan_ae -0.010
global step 3500   step-time 0.61s  loss 48.751 ppl 87.55  disc 0.036 gen -0.010 gan_ae -0.007
global step 3600   step-time 0.61s  loss 49.203 ppl 87.59  disc 0.036 gen -0.014 gan_ae -0.005
global step 3700   step-time 0.61s  loss 49.153 ppl 87.56  disc 0.035 gen -0.014 gan_ae -0.004
global step 3800   step-time 0.61s  loss 48.560 ppl 85.39  disc 0.033 gen -0.014 gan_ae 0.002
global step 3900   step-time 0.61s  loss 48.910 ppl 85.58  disc 0.033 gen -0.009 gan_ae -0.003
global step 4000   step-time 0.61s  loss 48.626 ppl 84.04  disc 0.033 gen -0.007 gan_ae -0.004
global step 4100   step-time 0.61s  loss 48.375 ppl 82.37  disc 0.035 gen -0.012 gan_ae -0.005
global step 4200   step-time 0.61s  loss 48.238 ppl 81.72  disc 0.035 gen -0.005 gan_ae -0.007
global step 4300   step-time 0.61s  loss 47.923 ppl 78.75  disc 0.036 gen -0.012 gan_ae -0.006
global step 4400   step-time 0.61s  loss 48.249 ppl 80.78  disc 0.034 gen -0.005 gan_ae -0.007
global step 4500   step-time 0.61s  loss 47.827 ppl 78.89  disc 0.036 gen -0.003 gan_ae -0.010
global step 4600   step-time 0.61s  loss 47.825 ppl 78.97  disc 0.034 gen -0.012 gan_ae -0.002
global step 4700   step-time 0.61s  loss 47.599 ppl 78.11  disc 0.033 gen -0.005 gan_ae -0.007
global step 4800   step-time 0.61s  loss 47.799 ppl 78.00  disc 0.035 gen -0.011 gan_ae -0.005
global step 4900   step-time 0.61s  loss 47.511 ppl 76.58  disc 0.034 gen -0.007 gan_ae -0.007
global step 5000   step-time 0.61s  loss 47.606 ppl 77.01  disc 0.034 gen -0.010 gan_ae -0.003
global step 5100   step-time 0.61s  loss 47.131 ppl 74.81  disc 0.031 gen -0.009 gan_ae -0.000
global step 5200   step-time 0.61s  loss 47.510 ppl 75.70  disc 0.034 gen -0.014 gan_ae -0.002
global step 5300   step-time 0.61s  loss 47.415 ppl 76.22  disc 0.037 gen -0.009 gan_ae -0.008
global step 5400   step-time 0.61s  loss 47.117 ppl 74.09  disc 0.032 gen -0.006 gan_ae -0.005
global step 5500   step-time 0.61s  loss 47.226 ppl 74.55  disc 0.032 gen -0.006 gan_ae -0.004
global step 5600   step-time 0.61s  loss 47.287 ppl 73.86  disc 0.034 gen -0.011 gan_ae -0.006
global step 5700   step-time 0.61s  loss 46.825 ppl 72.60  disc 0.033 gen -0.009 gan_ae -0.002
global step 5800   step-time 0.61s  loss 47.015 ppl 72.19  disc 0.035 gen -0.005 gan_ae -0.008
global step 5900   step-time 0.61s  loss 46.960 ppl 74.21  disc 0.034 gen -0.011 gan_ae -0.004
global step 6000   step-time 0.61s  loss 46.869 ppl 72.15  disc 0.036 gen -0.012 gan_ae -0.006
load eval model.
eval  ppl 69.52
global step 6100   step-time 0.61s  loss 46.589 ppl 70.67  disc 0.034 gen -0.014 gan_ae -0.001
global step 6200   step-time 0.61s  loss 46.867 ppl 72.82  disc 0.034 gen -0.010 gan_ae -0.004
global step 6300   step-time 0.61s  loss 46.578 ppl 70.10  disc 0.032 gen -0.007 gan_ae -0.001
global step 6400   step-time 0.61s  loss 46.447 ppl 69.76  disc 0.033 gen -0.014 gan_ae 0.001
global step 6500   step-time 0.60s  loss 46.641 ppl 69.75  disc 0.035 gen -0.015 gan_ae -0.003
global step 6600   step-time 0.61s  loss 46.577 ppl 70.24  disc 0.031 gen -0.001 gan_ae -0.006
global step 6700   step-time 0.61s  loss 46.426 ppl 68.64  disc 0.032 gen -0.003 gan_ae -0.006
global step 6800   step-time 0.61s  loss 46.097 ppl 67.04  disc 0.033 gen -0.008 gan_ae -0.004
global step 6900   step-time 0.61s  loss 45.732 ppl 66.46  disc 0.035 gen -0.007 gan_ae -0.007
global step 7000   step-time 0.61s  loss 46.096 ppl 67.20  disc 0.034 gen -0.009 gan_ae -0.005
global step 7100   step-time 0.61s  loss 46.048 ppl 66.37  disc 0.033 gen -0.006 gan_ae -0.005
global step 7200   step-time 0.61s  loss 45.852 ppl 65.46  disc 0.032 gen -0.012 gan_ae 0.001
global step 7300   step-time 0.61s  loss 45.429 ppl 63.46  disc 0.033 gen -0.009 gan_ae -0.002
global step 7400   step-time 0.61s  loss 45.814 ppl 64.20  disc 0.034 gen -0.006 gan_ae -0.007
global step 7500   step-time 0.61s  loss 45.590 ppl 63.75  disc 0.034 gen -0.008 gan_ae -0.004
global step 7600   step-time 0.61s  loss 45.260 ppl 62.38  disc 0.032 gen -0.011 gan_ae 0.001
global step 7700   step-time 0.61s  loss 45.225 ppl 62.28  disc 0.033 gen -0.008 gan_ae -0.004
global step 7800   step-time 0.61s  loss 44.977 ppl 62.30  disc 0.033 gen -0.009 gan_ae -0.003
global step 7900   step-time 0.61s  loss 45.369 ppl 62.27  disc 0.035 gen -0.011 gan_ae -0.004
global step 8000   step-time 0.61s  loss 45.228 ppl 61.42  disc 0.031 gen -0.007 gan_ae -0.000
global step 8100   step-time 0.61s  loss 45.261 ppl 60.96  disc 0.033 gen -0.009 gan_ae -0.002
global step 8200   step-time 0.61s  loss 45.008 ppl 61.14  disc 0.033 gen -0.007 gan_ae -0.003
global step 8300   step-time 0.61s  loss 44.983 ppl 59.67  disc 0.031 gen -0.002 gan_ae -0.004
global step 8400   step-time 0.61s  loss 44.878 ppl 59.20  disc 0.034 gen -0.008 gan_ae -0.004
global step 8500   step-time 0.61s  loss 44.955 ppl 61.02  disc 0.033 gen -0.007 gan_ae -0.004
global step 8600   step-time 0.61s  loss 44.576 ppl 58.86  disc 0.032 gen -0.002 gan_ae -0.006
global step 8700   step-time 0.61s  loss 44.517 ppl 58.52  disc 0.033 gen -0.006 gan_ae -0.003
global step 8800   step-time 0.61s  loss 44.667 ppl 58.88  disc 0.032 gen -0.011 gan_ae -0.000
global step 8900   step-time 0.61s  loss 44.250 ppl 56.68  disc 0.032 gen -0.006 gan_ae -0.003
global step 9000   step-time 0.61s  loss 44.540 ppl 57.48  disc 0.032 gen -0.006 gan_ae -0.001
load eval model.
eval  ppl 55.75
global step 9100   step-time 0.61s  loss 44.498 ppl 57.95  disc 0.034 gen -0.006 gan_ae -0.007
global step 9200   step-time 0.61s  loss 44.103 ppl 56.32  disc 0.032 gen -0.003 gan_ae -0.007
global step 9300   step-time 0.61s  loss 44.260 ppl 57.11  disc 0.032 gen -0.002 gan_ae -0.006
global step 9400   step-time 0.61s  loss 43.733 ppl 54.89  disc 0.031 gen -0.005 gan_ae -0.002
global step 9500   step-time 0.61s  loss 43.848 ppl 56.17  disc 0.035 gen -0.012 gan_ae -0.005
global step 9600   step-time 0.61s  loss 43.697 ppl 54.16  disc 0.033 gen -0.005 gan_ae -0.004
global step 9700   step-time 0.61s  loss 43.737 ppl 55.02  disc 0.035 gen -0.013 gan_ae -0.004
global step 9800   step-time 0.61s  loss 44.011 ppl 54.94  disc 0.030 gen -0.005 gan_ae -0.001
global step 9900   step-time 0.61s  loss 43.928 ppl 55.37  disc 0.034 gen -0.008 gan_ae -0.004
global step 10000   step-time 0.61s  loss 43.529 ppl 52.95  disc 0.033 gen -0.013 gan_ae -0.000
global step 10100   step-time 0.61s  loss 43.817 ppl 54.17  disc 0.032 gen -0.011 gan_ae 0.000
global step 10200   step-time 0.61s  loss 43.431 ppl 53.15  disc 0.032 gen -0.003 gan_ae -0.005
global step 10300   step-time 0.61s  loss 43.498 ppl 52.68  disc 0.032 gen -0.003 gan_ae -0.004
global step 10400   step-time 0.61s  loss 43.545 ppl 53.01  disc 0.034 gen -0.008 gan_ae -0.005
global step 10500   step-time 0.61s  loss 43.402 ppl 53.08  disc 0.032 gen -0.008 gan_ae -0.001
global step 10600   step-time 0.61s  loss 43.686 ppl 52.79  disc 0.033 gen -0.007 gan_ae -0.003
global step 10700   step-time 0.61s  loss 43.298 ppl 52.61  disc 0.032 gen -0.005 gan_ae -0.003
global step 10800   step-time 0.61s  loss 42.849 ppl 50.53  disc 0.033 gen -0.007 gan_ae -0.004
global step 10900   step-time 0.61s  loss 43.205 ppl 51.53  disc 0.030 gen -0.003 gan_ae -0.002
global step 11000   step-time 0.61s  loss 43.125 ppl 52.29  disc 0.032 gen -0.008 gan_ae -0.001
global step 11100   step-time 0.61s  loss 42.924 ppl 51.21  disc 0.033 gen -0.008 gan_ae -0.003
global step 11200   step-time 0.61s  loss 43.049 ppl 50.90  disc 0.033 gen -0.009 gan_ae -0.002
global step 11300   step-time 0.61s  loss 42.794 ppl 50.25  disc 0.032 gen 0.000 gan_ae -0.007
global step 11400   step-time 0.61s  loss 42.914 ppl 50.34  disc 0.033 gen -0.005 gan_ae -0.005
global step 11500   step-time 0.61s  loss 42.801 ppl 49.81  disc 0.033 gen -0.004 gan_ae -0.005
global step 11600   step-time 0.61s  loss 42.764 ppl 49.72  disc 0.033 gen -0.008 gan_ae -0.002
global step 11700   step-time 0.61s  loss 42.621 ppl 49.10  disc 0.031 gen -0.005 gan_ae -0.003
global step 11800   step-time 0.61s  loss 42.974 ppl 49.69  disc 0.033 gen -0.007 gan_ae -0.003
global step 11900   step-time 0.61s  loss 42.651 ppl 48.86  disc 0.030 gen -0.008 gan_ae 0.001
global step 12000   step-time 0.61s  loss 42.699 ppl 49.22  disc 0.032 gen -0.003 gan_ae -0.004
load eval model.
eval  ppl 46.96
answer:  one day , i was driving the van down to the store .
predict:  i was on a big _UNK of a big _UNK .
answer:  she bought some new shelves .
predict:  she was a very nervous .
answer:  he was given a set of tickets .
predict:  he was very excited to get a new one .
answer:  his friends agree that 's a great idea .
predict:  the other kids _UNK the water .
answer:  after starting a fire in the kitchen , chance has a babysitter again .
predict:  the next day he was able to go to the store and get a new one .
answer:  alicia looked at her house .
predict:  she was a very excited .
answer:  she searched everywhere but could n't find it .
predict:  she decided to go to the store to get a new one .
answer:  when the cast was announced , she was left disappointed .
predict:  she was very nervous about a new job .
BLEU = 0.97, 24.8/1.8/0.3/0.1 (BP=0.981, ratio=0.982, hyp_len=95846, ref_len=97637)

distinc1: 0.00211
distinc2: 0.00948
infer done.
global step 12100   step-time 0.61s  loss 42.489 ppl 47.60  disc 0.032 gen -0.008 gan_ae -0.002
global step 12200   step-time 0.61s  loss 42.376 ppl 48.19  disc 0.032 gen -0.004 gan_ae -0.005
global step 12300   step-time 0.61s  loss 42.802 ppl 48.87  disc 0.032 gen -0.004 gan_ae -0.004
global step 12400   step-time 0.61s  loss 42.180 ppl 46.66  disc 0.032 gen -0.009 gan_ae 0.000
global step 12500   step-time 0.61s  loss 42.041 ppl 46.63  disc 0.031 gen -0.004 gan_ae -0.003
global step 12600   step-time 0.61s  loss 42.408 ppl 46.85  disc 0.031 gen -0.005 gan_ae -0.001
global step 12700   step-time 0.61s  loss 42.077 ppl 46.29  disc 0.033 gen -0.009 gan_ae -0.002
global step 12800   step-time 0.61s  loss 42.123 ppl 46.70  disc 0.030 gen -0.003 gan_ae -0.003
global step 12900   step-time 0.61s  loss 42.163 ppl 46.77  disc 0.032 gen -0.005 gan_ae -0.003
global step 13000   step-time 0.61s  loss 42.135 ppl 46.16  disc 0.032 gen -0.009 gan_ae -0.001
global step 13100   step-time 0.61s  loss 42.003 ppl 45.68  disc 0.031 gen -0.001 gan_ae -0.005
global step 13200   step-time 0.61s  loss 42.110 ppl 46.89  disc 0.031 gen -0.005 gan_ae -0.002
global step 13300   step-time 0.61s  loss 41.963 ppl 45.77  disc 0.032 gen -0.005 gan_ae -0.004
global step 13400   step-time 0.61s  loss 41.729 ppl 45.49  disc 0.032 gen -0.008 gan_ae -0.002
global step 13500   step-time 0.61s  loss 41.683 ppl 44.65  disc 0.031 gen -0.003 gan_ae -0.004
global step 13600   step-time 0.61s  loss 41.664 ppl 44.51  disc 0.032 gen -0.005 gan_ae -0.003
global step 13700   step-time 0.61s  loss 41.558 ppl 44.50  disc 0.032 gen -0.007 gan_ae -0.002
global step 13800   step-time 0.61s  loss 41.533 ppl 44.23  disc 0.031 gen -0.010 gan_ae 0.001
global step 13900   step-time 0.61s  loss 41.350 ppl 44.08  disc 0.031 gen 0.002 gan_ae -0.007
global step 14000   step-time 0.61s  loss 41.552 ppl 44.09  disc 0.033 gen -0.006 gan_ae -0.005
global step 14100   step-time 0.61s  loss 41.666 ppl 43.71  disc 0.033 gen -0.007 gan_ae -0.003
global step 14200   step-time 0.61s  loss 41.258 ppl 42.91  disc 0.032 gen -0.005 gan_ae -0.003
global step 14300   step-time 0.61s  loss 41.504 ppl 43.43  disc 0.030 gen -0.007 gan_ae 0.001
global step 14400   step-time 0.61s  loss 41.153 ppl 43.12  disc 0.033 gen -0.003 gan_ae -0.006
global step 14500   step-time 0.61s  loss 40.658 ppl 42.29  disc 0.031 gen -0.004 gan_ae -0.002
global step 14600   step-time 0.61s  loss 41.050 ppl 42.56  disc 0.031 gen -0.005 gan_ae -0.002
global step 14700   step-time 0.61s  loss 41.306 ppl 43.03  disc 0.035 gen -0.010 gan_ae -0.005
global step 14800   step-time 0.61s  loss 40.779 ppl 42.44  disc 0.031 gen -0.006 gan_ae -0.001
global step 14900   step-time 0.61s  loss 40.894 ppl 41.92  disc 0.031 gen -0.006 gan_ae -0.000
global step 15000   step-time 0.61s  loss 40.686 ppl 42.03  disc 0.030 gen -0.000 gan_ae -0.004
load eval model.
eval  ppl 40.95
answer:  one day , i was driving the van down to the store .
predict:  i was walking to the park .
answer:  she bought some new shelves .
predict:  she was very excited .
answer:  he was given a set of tickets .
predict:  he was very excited .
answer:  his friends agree that 's a great idea .
predict:  he decides to go to the beach .
answer:  after starting a fire in the kitchen , chance has a babysitter again .
predict:  he was glad he was n't sure he was n't sure it was n't a lot .
answer:  alicia looked at her house .
predict:  anna was walking to the store .
answer:  she searched everywhere but could n't find it .
predict:  she was excited to get it to work .
answer:  when the cast was announced , she was left disappointed .
predict:  she was very excited to get her friends to get her .
BLEU = 0.99, 26.4/2.2/0.3/0.1 (BP=0.892, ratio=0.897, hyp_len=87579, ref_len=97637)

distinc1: 0.00526
distinc2: 0.02691
infer done.
global step 15100   step-time 0.60s  loss 40.538 ppl 41.60  disc 0.032 gen -0.007 gan_ae -0.002
global step 15200   step-time 0.61s  loss 40.800 ppl 41.71  disc 0.032 gen -0.002 gan_ae -0.005
global step 15300   step-time 0.61s  loss 40.986 ppl 42.07  disc 0.029 gen -0.005 gan_ae 0.000
global step 15400   step-time 0.61s  loss 40.835 ppl 41.36  disc 0.033 gen -0.002 gan_ae -0.008
global step 15500   step-time 0.60s  loss 40.492 ppl 41.01  disc 0.034 gen -0.003 gan_ae -0.008
global step 15600   step-time 0.61s  loss 40.786 ppl 41.06  disc 0.031 gen -0.009 gan_ae 0.001
global step 15700   step-time 0.61s  loss 41.082 ppl 41.29  disc 0.032 gen -0.004 gan_ae -0.004
global step 15800   step-time 0.61s  loss 40.322 ppl 40.15  disc 0.031 gen -0.007 gan_ae -0.001
global step 15900   step-time 0.61s  loss 40.438 ppl 40.43  disc 0.033 gen -0.007 gan_ae -0.004
global step 16000   step-time 0.61s  loss 40.496 ppl 40.45  disc 0.032 gen -0.007 gan_ae -0.001
global step 16100   step-time 0.61s  loss 40.517 ppl 40.27  disc 0.034 gen -0.004 gan_ae -0.007
global step 16200   step-time 0.61s  loss 40.372 ppl 39.90  disc 0.030 gen -0.007 gan_ae 0.000
global step 16300   step-time 0.61s  loss 40.677 ppl 40.58  disc 0.034 gen -0.006 gan_ae -0.006
global step 16400   step-time 0.61s  loss 40.325 ppl 39.26  disc 0.032 gen -0.010 gan_ae -0.001
global step 16500   step-time 0.61s  loss 40.106 ppl 39.34  disc 0.031 gen -0.004 gan_ae -0.002
global step 16600   step-time 0.61s  loss 40.050 ppl 38.76  disc 0.032 gen -0.008 gan_ae -0.002
global step 16700   step-time 0.61s  loss 41.322 ppl 43.82  disc 0.032 gen -0.007 gan_ae -0.003
global step 16800   step-time 0.61s  loss 39.848 ppl 38.67  disc 0.030 gen -0.005 gan_ae -0.001
global step 16900   step-time 0.61s  loss 39.766 ppl 37.58  disc 0.032 gen -0.006 gan_ae -0.003
global step 17000   step-time 0.61s  loss 40.146 ppl 39.16  disc 0.031 gen -0.003 gan_ae -0.003
global step 17100   step-time 0.60s  loss 39.958 ppl 38.39  disc 0.032 gen -0.005 gan_ae -0.003
global step 17200   step-time 0.61s  loss 40.045 ppl 38.25  disc 0.033 gen -0.010 gan_ae -0.002
global step 17300   step-time 0.61s  loss 40.004 ppl 38.57  disc 0.030 gen -0.002 gan_ae -0.003
global step 17400   step-time 0.60s  loss 40.410 ppl 39.47  disc 0.031 gen -0.007 gan_ae -0.001
global step 17500   step-time 0.61s  loss 40.005 ppl 38.25  disc 0.032 gen -0.008 gan_ae -0.001
global step 17600   step-time 0.61s  loss 40.203 ppl 38.22  disc 0.031 gen -0.002 gan_ae -0.002
global step 17700   step-time 0.61s  loss 39.558 ppl 37.46  disc 0.032 gen -0.006 gan_ae -0.004
global step 17800   step-time 0.61s  loss 39.687 ppl 37.44  disc 0.031 gen -0.006 gan_ae -0.001
global step 17900   step-time 0.61s  loss 39.871 ppl 37.77  disc 0.032 gen -0.005 gan_ae -0.003
